ФИО					Всего фабул	Правильных ответов	Неверных ответов	Дата		Время в минутах
f					2		1			1			10.03.2015	0
ав					2		0			2			10.03.2015	0
рп					2		2			0			11.03.2015	1
а					2		1			1			11.03.2015	0
аывф					2		1			1			12.03.2015	0
f					1		1			0			12.03.2015	0
fsd					1		1			0			12.03.2015	0
f					1		1			0			12.03.2015	0
f					1		1			0			12.03.2015	0
fds					1		1			0			12.03.2015	0
fsda					1		1			0			12.03.2015	0
fds					1		1			0			12.03.2015	0
fsd					1		0			1			12.03.2015	0
fds					1		0			1			12.03.2015	0
fsd					1		0			1			12.03.2015	0
fsd					1		0			1			12.03.2015	0
f					1		1			0			12.03.2015	0
